model,scenario,region,variable,unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
GCAM 3.0,AMPERE3-450P-CE,World,Primary Energy|Fossil|w/ CCS,EJ/yr,0.00,0.00,2.70,14.02,49.45,110.02,154.39,163.98,158.30,117.07,100.43
GCAM 3.0,AMPERE3-450P-CE,World,Temperature|Global Mean|MAGICC6|MED,°C,0.77,0.84,1.07,1.36,1.69,2.00,2.25,2.38,2.41,2.34,2.16
GCAM 3.0,AMPERE3-450P-EU,World,Emissions|CO2,Mt CO2/yr,31473.40,31678.14,39487.87,47419.61,45118.79,35081.54,19182.91,1166.07,-17384.21,-37079.51,-57832.34
GCAM 3.0,AMPERE3-450P-EU,World,Price|Carbon,US$2005/t CO2,0.00,0.00,0.00,2.52,33.91,65.26,106.32,173.16,282.08,459.50,713.40
GCAM 3.0,AMPERE3-450P-EU,World,Primary Energy,EJ/yr,460.41,504.35,624.50,769.43,857.29,943.23,1002.71,1089.48,1177.26,1282.19,1420.23
GCAM 3.0,AMPERE3-450P-EU,World,Primary Energy|Coal,EJ/yr,120.76,144.95,189.86,241.25,224.25,191.70,136.72,102.51,80.72,35.70,14.45
GCAM 3.0,AMPERE3-450P-EU,World,Primary Energy|Fossil|w/ CCS,EJ/yr,0.00,0.00,2.66,13.96,42.59,102.50,146.95,156.77,155.35,116.08,100.00
GCAM 3.0,AMPERE3-450P-EU,World,Temperature|Global Mean|MAGICC6|MED,°C,0.79,0.86,1.09,1.39,1.72,2.03,2.28,2.42,2.45,2.38,2.20
GCAM 3.0,AMPERE3-550,World,Emissions|CO2,Mt CO2/yr,31473.40,31678.13,39660.52,47541.01,50744.18,46992.91,34172.78,17064.62,-2639.86,-21628.98,-42437.11
GCAM 3.0,AMPERE3-550,World,Price|Carbon,US$2005/t CO2,0.00,0.00,10.30,16.78,27.33,44.52,72.51,118.11,192.39,313.39,486.56
GCAM 3.0,AMPERE3-550,World,Primary Energy,EJ/yr,458.03,501.89,622.66,751.83,863.50,956.22,1007.66,1064.33,1146.19,1221.76,1331.16
GCAM 3.0,AMPERE3-550,World,Primary Energy|Coal,EJ/yr,120.76,144.95,184.70,221.50,242.98,237.12,187.54,131.81,103.09,72.41,34.61
GCAM 3.0,AMPERE3-550,World,Primary Energy|Fossil|w/ CCS,EJ/yr,0.00,0.00,1.52,9.76,32.75,75.68,119.13,151.33,159.48,144.44,112.71
GCAM 3.0,AMPERE3-550,World,Temperature|Global Mean|MAGICC6|MED,°C,0.83,0.90,1.13,1.43,1.77,2.11,2.42,2.64,2.76,2.77,2.68
GCAM 3.0,AMPERE3-Base-EUback,World,Emissions|CO2,Mt CO2/yr,31473.40,31678.13,41826.41,52214.95,63459.29,75453.50,81730.83,86384.17,89308.29,92285.81,96090.28
GCAM 3.0,AMPERE3-Base-EUback,World,Price|Carbon,US$2005/t CO2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GCAM 3.0,AMPERE3-Base-EUback,World,Primary Energy,EJ/yr,457.76,501.61,632.27,788.66,934.72,1073.33,1174.84,1261.38,1328.94,1395.49,1470.71
GCAM 3.0,AMPERE3-Base-EUback,World,Primary Energy|Coal,EJ/yr,120.76,144.95,201.07,271.00,344.24,424.09,478.42,518.29,539.32,557.29,559.09
GCAM 3.0,AMPERE3-Base-EUback,World,Primary Energy|Fossil|w/ CCS,EJ/yr,0.00,0.00,1.17,4.63,4.59,0.00,0.00,0.00,0.00,0.00,0.00
GCAM 3.0,AMPERE3-Base-EUback,World,Temperature|Global Mean|MAGICC6|MED,°C,0.81,0.88,1.11,1.43,1.80,2.23,2.70,3.19,3.68,4.18,4.64
GCAM 3.0,AMPERE3-CF450P-EU,World,Emissions|CO2,Mt CO2/yr,31473.40,31678.13,41826.41,52214.95,49660.44,36881.63,19617.99,995.01,-17475.49,-37146.77,-57853.52
GCAM 3.0,AMPERE3-CF450P-EU,World,Price|Carbon,US$2005/t CO2,0.00,0.00,0.00,0.00,32.63,65.26,106.32,173.16,282.08,459.50,713.40
GCAM 3.0,AMPERE3-CF450P-EU,World,Primary Energy,EJ/yr,460.41,504.35,635.96,793.04,870.95,942.83,1001.18,1087.41,1176.79,1282.69,1420.85
GCAM 3.0,AMPERE3-CF450P-EU,World,Primary Energy|Coal,EJ/yr,120.76,144.95,201.07,271.00,248.20,197.64,135.68,100.55,79.96,35.60,14.55
GCAM 3.0,AMPERE3-CF450P-EU,World,Primary Energy|Fossil|w/ CCS,EJ/yr,0.00,0.00,1.17,4.63,30.50,91.62,138.88,152.58,154.43,115.22,99.12
GCAM 3.0,AMPERE3-CF450P-EU,World,Temperature|Global Mean|MAGICC6|MED,°C,0.82,0.89,1.12,1.44,1.81,2.14,2.40,2.53,2.56,2.49,2.31
GCAM 3.0,AMPERE3-RefPol,World,Emissions|CO2,Mt CO2/yr,31473.40,31678.14,39787.42,48131.28,52770.92,54537.50,54976.51,54792.56,53594.22,51287.98,49551.47
GCAM 3.0,AMPERE3-RefPol,World,Price|Carbon,US$2005/t CO2,0.00,0.00,0.00,2.52,13.29,27.81,44.07,59.50,71.32,86.41,101.47
GCAM 3.0,AMPERE3-RefPol,World,Primary Energy,EJ/yr,457.76,501.61,622.68,764.56,884.66,995.11,1080.88,1155.01,1214.59,1275.17,1325.32
GCAM 3.0,AMPERE3-RefPol,World,Primary Energy|Coal,EJ/yr,120.76,144.95,191.80,243.44,273.15,291.68,308.12,315.06,313.88,304.55,288.94
GCAM 3.0,AMPERE3-RefPol,World,Primary Energy|Fossil|w/ CCS,EJ/yr,0.00,0.00,2.31,12.49,29.51,56.97,75.64,85.91,92.81,101.06,97.59
GCAM 3.0,AMPERE3-RefPol,World,Temperature|Global Mean|MAGICC6|MED,°C,0.80,0.87,1.11,1.41,1.74,2.09,2.44,2.78,3.10,3.41,3.72
GCAM 3.0,EMF27-450-Conv,ASIA,Emissions|CO2,Mt CO2/yr,10579.48,12895.66,11695.80,11358.51,6779.00,5146.00,3466.85,1863.52,335.24,-877.69,-1471.87
GCAM 3.0,EMF27-450-Conv,ASIA,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,9465.69,11873.82,12644.00,10853.94,7599.85,5713.16,3980.99,2458.41,1046.20,-65.79,-599.62
GCAM 3.0,EMF27-450-Conv,ASIA,Primary Energy,EJ/yr,135.57,163.32,200.69,252.36,298.81,332.82,356.82,375.96,381.45,370.28,348.90
